id,month,stream,water_temp,pH,specific_conductance,run,type,discharge,ave_chlo_a,ash_free_dry_mass,drywt,leaf_biomass,wood_biomass,stream_cover,stream_wetted_area
1,June,CC,23.3,8.06,198.1,1,urban,0.648194815,19.9658366,47.68246413,58.61592418,0.048,0.384,0.133320071,1007.285714
2,June,CC,30.1,8.83,222.8,2,urban,0.267904948,11.20689652,49.38137299,93.02635428,0.672,2.624,0.137860725,914.9285714
3,July,CC,26.3,8,307,3,urban,0.140416118,37.19180412,51.01463716,78.377701,0.032,2.416,0.268472946,677.4285714
4,August,CC,27.3,9.16,204.1,4,urban,0.539448845,37.71476436,106.850705,148.2803081,1.872,1.6,0.239720617,994.6428571
5,September,CC,15.7,6.22,276.5,5,urban,0.135623914,53.2668038,230.1481955,311.6611806,9.333333333,7.424,0.27236801,721.8333333
6,October,CC,18.7,7.96,298,6,urban,0.098360938,125.7027415,58.22344918,86.56229992,94.144,1.194666667,0.236660344,835.5555556
7,November,CC,8.8,7.84,181.5,7,urban,0.566784861,46.54320242,130.7368243,207.6590391,33.14133333,1.301333333,0.128089397,970.6666667
8,June,CC,21.3,7.6,108.4,1,rural,0.727363542,6.206649139,38.49491846,57.7361413,0.128,5.248,0.306113161,805.1428571
9,June,CC,28.2,7.91,127.9,2,rural,0.313423958,5.880700206,16.6007124,35.05883911,0.656,3.68,0.32272696,664.3571429
10,July,CC,24.3,7.6,147.3,3,rural,0.22223575,16.09321856,82.30334246,135.5617495,0,3.856,0.438847234,574
11,August,CC,25.3,8.39,127.7,4,rural,0.840845613,37.70301768,201.9845282,248.4422287,2.336,2.64,0.355800646,803.5714286
12,September,CC,14.2,5.25,68.7,5,rural,0.346372031,66.54345792,112.3359677,157.6765127,16.62933333,1.717333333,0.30473637,730.0555556
13,October,CC,19.7,7.61,164.3,6,rural,0.231287656,18.94064878,218.1824734,266.2097479,328.6933333,3.754666667,0.14445061,778.2222222
14,November,CC,8.5,7.93,126.1,7,rural,0.656445116,21.03744781,519.940884,602.1977753,288.9493333,5.109333333,0.145281025,784.8888889
15,June,FH,15.9,8.07,421.3,1,urban,0.097562934,5.878104551,41.23098045,51.84531356,1.888,0.448,0.628024812,233.2857143
16,June,FH,21.7,7.84,689,2,urban,0.065341111,78.70737708,33.63773124,53.64966768,17.744,7.168,0.551002484,226.2857143
17,July,FH,22.2,8.61,931,3,urban,0.017427083,32.23272169,43.16111942,84.59343313,1.024,2.208,0.710825135,171.3571429
18,August,FH,22,8.01,380.1,4,urban,0.095606208,23.26374221,259.4731773,336.4528786,0.56,0.992,0.617480424,251.4285714
19,September,FH,23.4,8.75,776,5,urban,0.011163,546.9406053,299.1682381,411.3238032,18.47466667,1.152,0.572553465,196.6111111
20,October,FH,20,7.82,1000,6,urban,0.012378472,259.2660808,251.8400481,276.7142972,335.4986667,3.189333333,0.347373117,253.5555556
21,November,FH,9,8.53,747,7,urban,0.037054688,360.1950038,143.6373247,169.6992906,172.5333333,5.962666667,0.207453304,228.2777778
22,June,FH,13.8,8.1,333.7,1,rural,0.054469155,0,62.89090161,64.03488101,8.896,2.048,0.548548539,207.6428571
23,June,FH,19,7.77,609,2,rural,0.008549896,8.175013817,112.2035826,124.189457,3.856,12.112,0.494346547,158.7142857
24,July,FH,21.4,7.75,684,3,rural,0.000150417,9.424656864,43.2057252,56.37318431,0.544,3.744,0.598322121,24.57142857
25,August,FH,21.8,7.87,494,4,rural,0.020367361,0,33.71559495,50.90674116,0.608,0.656,0.671464986,171.6428571
26,October,FH,16.8,7.56,725,6,rural,0.001568519,0,16.89017373,17.82851672,227.7973333,0.554666667,0.297777521,48.33333333
27,November,FH,7.2,8.13,653,7,rural,0.006381926,126.570444,595.041406,721.2320867,107.6266667,3.626666667,0.224360509,139.1111111
28,June,LS,21.4,8.09,165.7,1,reference,0.739424444,7.310853762,51.71415953,55.87599406,0.192,11.12,0.342355746,500.8571429
29,June,LS,21.2,7.69,189.5,2,reference,0.09146663,17.19481494,61.86244578,73.15892018,0.656,1.077333333,0.345046055,316.8571429
30,July,LS,25.4,7.15,261.1,3,reference,0.049337,49.34430855,112.1646744,134.5711598,0.4,0.624,0.249987883,236.3571429
31,August,LS,24.6,7.95,182.8,4,reference,0.686303333,53.73883316,116.9935596,179.3415748,2.336,0.144,0.284529346,455.3571429
32,September,LS,12.6,5.39,223.3,5,reference,0.135994444,138.7916326,86.42237084,107.6340538,5.226666667,1.088,0.347083153,393.2777778
33,October,LS,15.5,7.5,304.1,6,reference,0.232795597,130.4781796,83.22290267,137.1546109,141.0773333,10.29688889,0.276214226,362.5555556
34,November,LS,4,7.23,184,7,reference,0.619288177,77.99205016,80.83993478,106.7982013,183.3706667,78.88,0.191265874,527.6111111
35,June,LS,18.2,8.24,167.5,1,reference,0.353743542,6.668094244,20.92471627,30.47093381,1.152,3.632,0.130324195,454.7857143
36,June,LS,24.8,7.05,184.6,2,reference,0.001256111,4.235224349,63.96535628,63.96535628,0.032,0.432,0.152017144,52.71428571
37,July,LS,NA,NA,NA,3,reference,0,0,0,0,NA,NA,0.401250723,0
38,August,LS,24,8.07,169.5,4,reference,0.243151295,2.382371417,56.35837793,74.37980796,0.528,0.144,0.48748196,417.7142857
39,September,LS,NA,NA,NA,5,reference,0,0,0,0,7.312,0.208,0.380220968,0
40,October,LS,NA,NA,NA,6,reference,0,0,0,0,NA,NA,0.337609344,0
41,November,LS,4.6,7.43,178.5,7,reference,0.198041667,54.04266402,153.0560127,210.2759788,89.65333333,5.472,0.074696141,405.6111111
42,June,PC,14.3,8.44,330.6,1,urban,0.096233177,16.52495473,53.96215274,81.06197311,6.9824,1.4976,0.106926722,345.8571429
43,June,PC,27.4,8.9,410.3,2,urban,0.032374222,111.0393904,155.441981,249.5281869,5.68,9.2,0.082185089,291.1428571
44,July,PC,27.4,8.59,670,3,urban,0.008666972,5.311779632,206.5160357,325.5387512,2.448,0.24,0.081992067,266.0714286
45,August,PC,23.7,8.23,549,4,urban,0.015342896,80.90533786,214.2444355,309.1941867,2.32,0.672,0.14179749,278.2857143
46,September,PC,14.6,8.11,733,5,urban,0.006462083,219.8919589,204.6922449,421.335465,1.290666667,0,0.11936485,227.0555556
47,October,PC,25.3,8.91,582.5,6,urban,0.01022625,241.4908426,252.5518089,341.7147733,75.85066667,0,0.107848229,280.1666667
48,November,PC,8.7,8.29,540.9,7,urban,0.02387,226.773285,495.1788013,682.3634797,175.5626667,0.672,0.020399239,335.3333333
49,June,PC,16.1,7.92,268.3,1,rural,0.057964525,18.30022708,58.1446055,74.99604276,1.328,0.144,0.295980662,189.8571429
50,June,PC,25.8,7.79,303.3,2,rural,0.003819444,39.49663628,32.54961029,35.30065097,3.488,6.928,0.411066262,123.3571429
51,July,PC,22.4,7.69,317.3,3,rural,0.001466667,63.63059928,64.75549473,129.5109895,0,7.44,0.441272304,107.5
52,August,PC,23,7.76,357.3,4,rural,0.002583389,81.44480536,48.35124494,78.21318754,0.912,0.288,0.409950945,200.5
53,September,PC,14.1,7.81,374.6,5,rural,0.000646944,145.2912987,133.5714439,188.3941103,4.64,0,0.531579937,72.38888889
54,October,PC,17.4,7.55,352.4,6,rural,0.001693611,260.1589559,139.9762874,244.9923916,165.6177778,1.066666667,0.262584358,126.9444444
55,November,PC,8,8.05,362.8,7,rural,0.024074074,87.67636958,218.702948,310.1904046,219.616,5.248,0.105393005,223.7222222
56,June,PT,15.5,7.83,433.8,1,urban,0.159292972,0,31.38475647,33.38926537,3.392,1.712,0.516627484,275.7142857
57,June,PT,20.6,7.73,716,2,urban,0.026306759,54.71841362,36.43072298,49.94181134,1.904,1.6,0.676911531,166.5
58,July,PT,23.6,8.01,687,3,urban,0.021834896,77.93479063,57.43117719,92.17462168,0.912,2.288,0.684060571,221
59,August,PT,23,7.91,589,4,urban,0.036569954,92.02771581,80.3928456,102.3134889,2.96,0.48,0.695683666,240.9285714
60,September,PT,21.8,7.76,782,5,urban,0.016296389,119.5572159,44.32798788,66.56821152,146.1973333,87.456,0.660016767,200.2777778
61,October,PT,17.6,7.73,698,6,urban,0.014541204,242.5259605,138.5370587,182.2599685,129.4613333,4.309333333,0.408427482,226.7777778
62,November,PT,9.1,7.48,526,7,urban,0.093681024,81.21760815,107.1856604,152.7350329,158.5813333,10.61333333,0.368009668,293.8333333
63,June,PT,14.2,8.04,176.7,1,rural,0.025609375,18.74065391,55.88654822,65.28672207,1.36,2,0.647914014,156.4285714
64,June,PT,24.9,7.56,206.5,2,rural,0.004440278,1.393897022,45.20067709,47.36226043,1.536,5.312,0.651618682,95.5
65,July,PT,26,7.85,246.7,3,rural,0.003545833,32.38060916,88.90428393,181.4604128,1.008,0.304,0.643393012,107.2857143
66,August,PT,22.8,7.48,226,4,rural,0.00485538,8.776942388,153.6719613,173.1514895,3.6,8.848,0.701544629,135.0714286
67,September,PT,24.3,7.38,275.3,5,rural,0.0019775,34.17730949,147.9849307,171.1583975,92.992,1.258666667,0.674578793,81.61111111
68,October,PT,17.7,6.87,248.1,6,rural,0.005416736,63.54946757,259.7735969,330.6471362,420.4586667,18.47466667,0.376232689,150.3333333
69,November,PT,8.7,6.77,280.2,7,rural,0.034759491,38.39380074,206.7269778,243.1845948,25.312,0,0.32350574,201.1666667
